
|WJIS        |88.1  MHz |FM |201 |ND  |-                   |C1 |-  |LIC    |BRADENTON                |FL |US |BLED   -19860523KB  |100.   kW |100.   kW |121.0   |121.0   |54857      |N |27 |7  |54.00 |W |82  |23 |39.00 |RADIO TRAINING NETWORK, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |125.   m|125.0  m|-         |-       |-       |120.   m|88467     |
|WRGP        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |HOMESTEAD                |FL |US |BLED   -19990624KB  |0.165  kW |0.165  kW |129.0   |129.0   |21777      |N |25 |32 |24.00 |W |80  |28 |7.00  |FLORIDA INTERNATIONAL UNIVERSITY BOARD OF TRUSTEES                          |   0.00 km |   0.00 mi |  0.00 deg |131.   m|131.0  m|-         |-       |-       |128.   m|286517    |
|WBGY        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |NAPLES                   |FL |US |BLED   -20001220ABB |0.     kW |0.11   kW |0.0     |18.0    |47386      |N |25 |51 |56.00 |W |81  |23 |9.00  |EVERGLADES CITY BROADCASTING COMPANY, INC                                   |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|18.    m|-         |-       |-       |17.    m|542975    |
|WAYF        |88.1  MHz |FM |201 |DA  |-                   |C1 |-  |LIC    |WEST PALM BEACH          |FL |US |BLED   -20030818ADR |0.05   kW |50.    kW |321.0   |321.0   |61507      |N |26 |35 |20.00 |W |80  |12 |44.00 |WAY MEDIA, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |322.5  m|322.5  m|43945     |0.      |1220033 |317.   m|679198    |
|WUWF        |88.1  MHz |FM |201 |ND  |-                   |C1 |-  |LIC    |PENSACOLA                |FL |US |BMLED  -20120321ACC |100.   kW |100.   kW |187.2   |187.2   |66570      |N |30 |24 |13.00 |W |86  |59 |34.00 |THE UNIVERSITY OF WEST FLORIDA                                              |   0.00 km |   0.00 mi |  0.00 deg |191.   m|191.0  m|-         |-       |1058824 |180.   m|1492603   |
|WHIJ        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |OCALA                    |FL |US |BLED   -20130123AEY |1.25   kW |1.25   kW |117.0   |117.0   |40160      |N |29 |14 |16.00 |W |82  |7  |16.00 |RADIO TRAINING NETWORK, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |140.2  m|140.2  m|-         |-       |1036813 |121.9  m|1538617   |
|WMKJ        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |TAVERNIER                |FL |US |BLED   -20130809ACV |0.1    kW |0.1    kW |11.0    |11.0    |175531     |N |24 |59 |24.00 |W |80  |32 |27.00 |CALL COMMUNICATIONS GROUP, INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |11.    m|11.0   m|-         |-       |-       |9.     m|1568206   |
|WUBA        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |HIGH SPRINGS             |FL |US |BLED   -20130827ACP |0.11   kW |0.     kW |15.0    |0.0     |175104     |N |29 |48 |33.00 |W |82  |36 |26.00 |NEIGHBORHOODS UNITED FOR A BETTER ALACHUA, INC.                             |   0.00 km |   0.00 mi |  0.00 deg |38.    m|0.0    m|-         |-       |-       |12.    m|1571102   |
|WUBA        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |CP     |HIGH SPRINGS             |FL |US |BPED   -20130909AAG |0.22   kW |0.     kW |21.0    |0.0     |175104     |N |29 |48 |33.00 |W |82  |36 |26.00 |NEIGHBORHOODS UNITED FOR A BETTER ALACHUA, INC.                             |   0.00 km |   0.00 mi |  0.00 deg |44.    m|0.0    m|-         |-       |-       |18.    m|1573058   |
|WCRJ        |88.1  MHz |FM |201 |DA  |-                   |C2 |-  |LIC    |JACKSONVILLE             |FL |US |BLED   -20150612AAI |8.     kW |8.     kW |194.0   |194.0   |48390      |N |30 |16 |34.00 |W |81  |33 |51.00 |DELMARVA EDUCATIONAL ASSOCIATION                                            |   0.00 km |   0.00 mi |  0.00 deg |198.   m|198.0  m|109207    |0.      |1020783 |189.   m|1618835   |
|WBGY        |88.1  MHz |FM |201 |DA  |-                   |C2 |-  |CP     |EVERGLADES CITY          |FL |US |BPED   -20140825ABL |29.    kW |29.    kW |61.0    |61.0    |47386      |N |25 |51 |25.60 |W |81  |23 |6.70  |EVERGLADES CITY BROADCASTING COMPANY, INC                                   |   0.00 km |   0.00 mi |  0.00 deg |61.    m|61.0   m|120570    |276.    |1028858 |60.    m|1667639   |
